ID_Automatu,ID_Karty_Gracza,Data_Gry,Rodzaj_Gry,Postawiona_Stawka,Wygrana
250,806,2024-10-04,Wild West Slots,22,27,5,12
517,372,2024-10-15,Royal Riches,308,92,235,67
505,587,2024-09-29,Space Adventure,166,01,18,85
150,916,2024-10-03,Golden Spin,338,32,238,82
476,13,2024-10-03,Mega Jackpot,10,97,2,8
727,88,2024-10-05,Dragon's Gold,368,81,465,77
982,479,2024-10-15,Dragon's Gold,191,29,210,65
102,468,2024-10-11,Golden Spin,499,64,190,91
224,71,2024-10-17,Mystic Jungle,45,77,31,17
149,624,2024-10-15,Fruit Fiesta,361,38,603,54
